[2026-09-15 14:02:30] Connected to COM5 at 115200 baud
[2026-09-15 14:02:31] Arduino: 3-Channel Syringe Pump Controller Started
[2026-09-15 14:02:31] Arduino: Initialization complete. Ready for triggers.
[2026-09-15 14:02:31] Arduino: Pump 1, Magnitude 1, Volume 30.0 uL
[2026-09-15 14:02:32] Complete: Pump 1 delivered 30.0 uL at 0.182 mm (F)
[2026-09-15 14:02:32] Simulation mode enabled
[2026-09-15 14:02:32] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:32] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:34] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:34] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:36] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:36] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:38] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:39] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:41] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:41] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:43] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:43] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:45] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:45] Pump 1: Reached max travel, reversing direction
[2026-09-15 14:02:45] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:47] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:47] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:49] [SIMULATED] Pump 1, Magnitude 2
[2026-09-15 14:02:49] Trigger: Pump 1, Magnitude 2
[2026-09-15 14:02:50] Simulation mode disabled
[2026-09-15 14:02:51] Disconnected

