[2026-09-16 16:05:19] Connected to COM5 at 115200 baud
[2026-09-16 16:05:20] Pump 1: Synced unit size to 5.000 uL
[2026-09-16 16:05:20] Pump 2: Synced unit size to 10.000 uL
[2026-09-16 16:05:20] Pump 3: Synced unit size to 10.000 uL
[2026-09-16 16:05:23] Simulation mode enabled
[2026-09-16 16:05:23] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:23] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:23] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:25] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:25] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:25] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:27] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:27] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:27] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:29] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:29] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:29] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:31] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:31] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:31] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:33] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:33] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:33] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:35] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:35] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:35] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:37] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:37] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:37] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:39] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:39] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:39] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:41] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:41] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:41] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:43] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:43] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:43] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:45] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:45] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:45] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:47] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:47] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:47] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:49] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:49] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:49] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:51] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:51] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:51] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:53] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:53] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:53] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:55] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:55] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:55] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
